,(A) Full Model,(B) No Macro Agent,(C) No Risk Mgmt
2024-01-02,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0
2024-01-05,0.0,0.0,0.0
2024-01-08,-0.00042565761340015735,0.0015754677603964386,0.0025743423865998427
2024-01-09,0.0020134292882462157,0.0005100986011992714,0.0020134292882462157
2024-01-10,0.002661209660786701,0.0009226922034798191,0.002661209660786701
2024-01-11,-0.00180993031008167,8.404331595693315e-05,-0.00180993031008167
2024-01-12,-0.0014970814861340886,0.00046819102988154837,-0.0014970814861340886
2024-01-16,-0.008123883970254871,0.00012204153708292483,-0.005123883970254872
2024-01-17,0.0007918581510034384,0.002753977968176252,0.0007918581510034384
2024-01-18,-0.0024490471462134678,-0.0020582221265604828,-0.0024490471462134678
2024-01-19,0.0035497371682380874,-0.0007471847147355604,0.0035497371682380874
2024-01-22,-0.0016159041898242397,-0.0032128628587187163,-0.00011590418982423967
2024-01-23,0.001143043634429436,0.002702856053632713,0.001143043634429436
2024-01-24,0.004481852236440431,0.0017391998421349142,0.004481852236440431
2024-01-25,-0.0019347302882513073,-0.0002594474166164873,-0.0019347302882513073
2024-01-26,0.00032596071066834376,0.00015229393712981598,0.00032596071066834376
2024-01-29,-0.0026608169079823107,-0.0008962053898816658,-0.0026608169079823107
2024-01-30,-0.0026044018719179884,-0.002453815549085775,-0.0026044018719179884
2024-01-31,-0.007042206425575848,-0.006546330034142428,-0.007042206425575848
2024-02-01,-0.002957764800117113,-0.0016197415290272188,-0.002957764800117113
2024-02-02,0.00827243518914586,0.00815345429410455,0.00827243518914586
2024-02-05,0.00537160395232575,-0.0010553902651054257,0.00687160395232575
2024-02-06,-0.003699862498271256,5.1589001444030114e-05,-0.003699862498271256
2024-02-07,0.003073020329775661,0.0017959315594845982,0.003073020329775661
2024-02-08,0.0020718880332631084,0.00039798815282632294,0.0020718880332631084
2024-02-09,0.002720023669516791,0.0012556419742902891,0.002720023669516791
2024-02-12,0.00044132576260849654,8.029444250695628e-05,0.00044132576260849654
2024-02-13,0.006318744996918757,-0.0014151392193325896,0.006318744996918757
2024-02-14,0.0006668552554307816,0.0017936409568764522,0.0006668552554307816
2024-02-15,-0.0038119990370876714,-0.0037622799271622683,0.0021880009629123287
2024-02-16,0.0006237298023379079,0.0011472222715940839,0.0006237298023379079
2024-02-20,0.003480681275715547,0.0017578528733350196,0.003480681275715547
2024-02-21,-0.0016909590289845566,6.66618204182845e-05,-0.0016909590289845566
2024-02-22,-0.0038513311755390967,-0.00517679637934243,-0.0038513311755390967
2024-02-23,0.0043906835145819945,-0.0003649973654419325,0.0043906835145819945
2024-02-26,1.4559635062416643e-05,0.0013010335902197134,1.4559635062416643e-05
2024-02-27,-0.002677356200831593,-0.0006550354095232747,-0.002677356200831593
2024-02-28,0.0022477420852603514,0.0002329301468794731,0.0022477420852603514
2024-02-29,0.0015983607302856861,-0.001476592966137058,0.0015983607302856861
2024-03-01,0.004404656115382238,-0.0018649919514213409,0.004404656115382238
2024-03-04,-0.009297199365659642,-0.0032654725411232184,-0.003297199365659642
2024-03-05,-0.007765883319672456,-0.0026898442463257066,-0.007765883319672456
2024-03-06,-0.0032119676319287416,0.00030170128258996676,-0.0032119676319287416
2024-03-07,2.7330772998740427e-05,0.001220624667917114,2.7330772998740427e-05
2024-03-08,-0.003090502812889029,-0.0014046219204453814,-0.003090502812889029
2024-03-11,-0.00023510995025111114,8.098965399799818e-05,-0.00023510995025111114
2024-03-12,0.007701477200451251,0.0028822816375239646,0.007701477200451251
2024-03-13,-0.0012266723232840226,-0.0006839531129772813,-0.0012266723232840226
2024-03-14,0.005759206555743607,0.0008679280958132363,0.005759206555743607
2024-03-15,-0.0005392512213949485,-0.001425995634443622,-0.0005392512213949485
2024-03-18,-0.0028686115241746664,-0.0018494191577787793,0.00013138847582533364
