Date,SPY,TLT,GLD,UUP
2020-01-02,296.89,114.17,143.95,22.47
2020-01-03,294.64,115.92,145.86,22.49
2020-01-06,295.76,115.27,147.39,22.44
2020-01-07,294.93,114.7,147.97,22.52
2020-01-08,296.5,113.94,146.86,22.58
2020-01-09,298.51,114.34,146.03,22.62
2020-01-10,297.66,115.36,146.91,22.6
2020-01-13,299.7,115.01,145.82,22.6
2020-01-14,299.25,115.6,145.69,22.61
2020-01-15,299.92,116.37,146.54,22.58
2020-01-16,302.42,116.0,146.31,22.61
2020-01-17,303.36,115.01,146.58,22.69
2020-01-21,302.76,116.22,146.74,22.67
2020-01-22,302.8,116.62,146.79,22.66
2020-01-23,303.15,117.44,147.12,22.72
2020-01-24,300.45,118.39,147.98,22.75
2020-01-27,295.64,120.23,148.99,22.79
2020-01-28,298.73,119.29,147.66,22.79
2020-01-29,298.49,120.46,148.46,22.82
2020-01-30,299.46,120.47,148.47,22.75
2020-01-31,294.02,121.57,149.33,22.66
2020-02-03,296.2,121.48,148.36,22.77
2020-02-04,300.72,119.84,146.43,22.8
2020-02-05,304.19,118.53,146.61,22.89
2020-02-06,305.21,119.06,147.4,22.93
2020-02-07,303.59,120.55,147.79,22.98
2020-02-10,305.85,120.88,148.17,23.02
2020-02-11,306.38,120.27,147.66,22.99
2020-02-12,308.36,119.66,147.54,23.05
2020-02-13,308.03,120.12,148.38,23.08
2020-02-14,308.52,120.65,149.0,23.07
2020-02-18,307.73,121.48,150.91,23.16
2020-02-19,309.2,121.47,151.79,23.2
2020-02-20,307.93,122.42,152.41,23.27
2020-02-21,304.76,123.56,154.7,23.13
2020-02-24,294.65,125.41,156.09,23.14
2020-02-25,285.72,126.07,153.3,23.07
2020-02-26,284.67,125.41,153.97,23.09
2020-02-27,271.88,126.77,154.0,22.95
2020-02-28,270.74,129.63,148.38,22.87
2020-03-02,282.47,128.68,149.2,22.75
2020-03-03,274.38,130.67,153.89,22.66
2020-03-04,285.91,129.29,154.16,22.73
2020-03-05,276.41,132.5,157.49,22.56
2020-03-06,271.84,139.4,157.55,22.43
2020-03-09,250.61,143.18,157.81,22.19
2020-03-10,263.58,135.84,154.48,22.52
2020-03-11,250.73,130.84,153.93,22.55
2020-03-12,226.74,131.65,147.79,22.79
2020-03-13,246.12,128.68,143.28,23.66
2020-03-16,219.19,137.01,141.64,22.9
2020-03-17,231.03,127.87,143.56,23.3
2020-03-18,219.33,120.66,140.7,23.66
2020-03-19,219.79,123.95,138.04,24.22
2020-03-20,210.32,133.27,140.11,24.15
2020-03-23,204.94,138.76,146.3,24.11
2020-03-24,223.51,136.17,153.4,23.84
2020-03-25,226.86,135.87,151.3,23.61
2020-03-26,240.11,136.53,153.24,23.23
2020-03-27,232.95,140.18,152.25,23.04
2020-03-30,240.52,139.02,152.92,23.15
2020-03-31,236.93,137.9,148.05,23.13
2020-04-01,226.27,139.83,149.45,23.28
2020-04-02,231.49,140.72,151.9,23.4
2020-04-03,228.15,141.05,152.65,23.53
2020-04-06,243.47,140.68,156.88,23.54
2020-04-07,243.72,139.21,156.04,23.32
2020-04-08,251.9,138.2,154.65,23.41
2020-04-09,255.73,138.45,158.69,23.23
2020-04-13,253.4,137.18,161.41,23.2
2020-04-14,260.87,137.15,162.68,23.07
2020-04-15,255.33,140.78,161.85,23.24
2020-04-16,256.56,142.38,161.71,23.35
2020-04-17,263.49,140.47,158.57,23.29
2020-04-20,258.85,141.6,159.7,23.36
2020-04-21,250.99,143.39,158.61,23.4
2020-04-22,256.56,141.92,161.73,23.47
2020-04-23,256.54,142.67,163.34,23.48
2020-04-24,260.12,143.01,162.64,23.42
2020-04-27,263.87,140.35,161.56,23.36
2020-04-28,262.65,141.96,160.84,23.34
2020-04-29,269.53,141.23,161.73,23.24
2020-04-30,267.02,139.58,158.8,23.1
2020-05-01,259.95,140.77,159.78,23.12
2020-05-04,260.67,140.11,160.34,23.25
2020-05-05,263.08,139.21,161.02,23.27
2020-05-06,261.29,136.97,158.95,23.38
2020-05-07,264.45,139.26,161.39,23.31
2020-05-08,268.82,137.45,160.42,23.3
2020-05-11,268.88,136.37,159.42,23.39
2020-05-12,263.52,137.77,160.04,23.35
2020-05-13,258.86,138.74,161.58,23.39
2020-05-14,261.96,140.09,163.01,23.41
2020-05-15,263.16,139.73,163.93,23.43
2020-05-18,271.18,136.67,162.69,23.24
2020-05-19,268.39,137.18,164.26,23.22
2020-05-20,272.95,137.59,164.65,23.15
2020-05-21,271.07,137.93,162.25,23.2
2020-05-22,271.58,138.76,163.21,23.27
2020-05-26,274.93,136.9,160.89,23.1
2020-05-27,279.02,136.65,161.18,23.09
2020-05-28,278.5,136.15,161.72,22.97
2020-05-29,279.74,137.12,162.91,22.93
2020-06-01,280.87,136.2,163.66,22.8
2020-06-02,283.2,135.7,162.6,22.78
2020-06-03,286.97,133.9,159.6,22.64
2020-06-04,286.21,131.96,161.28,22.55
2020-06-05,293.55,131.02,158.01,22.6
2020-06-08,297.1,131.52,159.72,22.54
2020-06-09,294.88,133.01,161.26,22.47
2020-06-10,293.24,134.99,163.57,22.35
2020-06-11,276.33,137.54,162.39,22.58
2020-06-12,279.64,136.21,162.62,22.64
2020-06-15,282.25,136.29,162.33,22.54
2020-06-16,287.69,134.2,162.25,22.61
2020-06-17,286.49,134.75,162.56,22.63
2020-06-18,286.6,136.18,162.24,22.72
2020-06-19,284.96,136.29,164.03,22.74
2020-06-22,286.79,136.3,165.09,22.62
2020-06-23,288.11,135.37,166.48,22.54
2020-06-24,280.76,136.82,165.9,22.65
2020-06-25,283.77,137.22,165.8,22.68
2020-06-26,277.03,138.69,166.54,22.72
2020-06-29,281.1,138.25,166.63,22.72
2020-06-30,284.7,137.58,167.37,22.69
2020-07-01,286.7,137.31,166.62,22.64
2020-07-02,288.28,137.46,166.98,22.66
2020-07-06,292.73,136.89,167.98,22.54
2020-07-07,289.71,138.82,169.04,22.59
2020-07-08,291.92,138.26,170.09,22.47
2020-07-09,290.26,140.46,169.63,22.54
2020-07-10,293.23,139.76,169.19,22.51
2020-07-13,290.69,140.22,169.4,22.47
2020-07-14,294.45,140.42,170.19,22.43
2020-07-15,297.16,139.77,170.34,22.37
2020-07-16,296.18,140.43,168.73,22.45
2020-07-17,297.04,140.14,170.12,22.35
2020-07-20,299.44,140.48,170.94,22.32
2020-07-21,300.08,140.56,173.0,22.18
2020-07-22,301.79,140.98,175.63,22.12
2020-07-23,298.18,142.63,177.18,22.08
2020-07-24,296.26,142.62,178.7,21.98
2020-07-27,298.42,142.09,182.23,21.82
